description,brand,price,website,search_term,scrape_timestamp
Gaseosa SPRITE Botella 500ml,SPRITE,S/ 2.70,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Light OCEAN SPRAY Cranberry Caja 1L,OCEAN SPRAY,S/ 17.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Soya LAIVE Vio Tetrapack 946ml,LAIVE,S/ 7.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Coco LAIVE Vio Tetrapack 946ml,LAIVE,S/ 12.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Vegetal NOT MILK Chocolate Caja 1L,POWER NATURE,S/ 15.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Instantánea de Cebada ECCO Doypack 250g,ECCO,S/ 13.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Almendras ORASI UHT sin Azúcar Caja 1L,ORASI,S/ 15.60,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Almendra SILK Vainilla Caja 946ml,SILK,S/ 19.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida BIO AMAYU Shots Defense Botella 60ml Paquete 4un,BIO AMAYU,S/ 13.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa INCA KOLA Botella 2.5L,INCA KOLA,S/ 9.49,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida BIO AMAYU Shots Surtido Botella 60ml Paquete 4un,BIO AMAYU,S/ 13.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Botella 1L,COCA COLA,S/ 4.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Soya SOY VIDA Lata 390g Paquete 6un,SOY VIDA,S/ 15.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida GLORIA Mango Caja 1L,GLORIA,S/ 4.40,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante ELECTROLIGHT Manzana Botella 475ml,ELECTROLIGHT,S/ 2.10,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida rehidratante ELECTROLIGHT Granadilla Botella 475Ml,ELECTROLIGHT,S/ 2.10,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante GATORADE Apple Ice Botella 500ml,GATORADE,S/ 2.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante GATORADE Mandarina Botella 500ml,GATORADE,S/ 2.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa BELL'S Ginger Cero Azúcar Botella 1.5L,BELL'S,S/ 4.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante GATORADE Gatorlyte Fresa-Kiwi 591ml,GATORADE,S/ 5.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa PEPSI Cola Botella 1.5L,PEPSI,S/ 4.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebidas Energizantes RED BULL Ambar Edition Lata 250ml,RED BULL,S/ 7.80,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante GATORADE Gatorlyte Uva 591ml,GATORADE,S/ 5.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Almendra SILK Vainilla sin Azúcar Caja 946ml,SILK,S/ 19.60,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa PEPSI Cola Botella 3L,PEPSI,S/ 8.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida FRUGOS DEL VALLE Sabor a Manzana Caja 970ml,FRUGOS,S/ 3.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa SPRITE Lata 350ml,SPRITE,S/ 6.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa PEPSI Cola Botella 1L,PEPSI,S/ 3.60,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Energizante RED BULL Tropical Lata 250ml,RED BULL,S/ 7.80,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Carbonatada RED BULL Green Edition Lata 250ml,RED BULL,S/ 7.80,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Almendra SILK sin Azúcar Caja 946ml,SILK,S/ 19.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Durazno FRUGOS Caja 970ml,FRUGOS,S/ 3.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA GASEOSA sin Azúcar Lata 350ml,COCA COLA,S/ 6.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COKE DIET Lata 355ml,COKE,S/ 6.80,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa PEPSI Botella 600ml,PEPSI,S/ 2.40,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Botella 500ml,COCA COLA,S/ 3.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Instantánea en Polvo CLIGHT Limón con Splenda Sobre 7g,CLIGHT,S/ 2.30,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Botella 1.5L,COCA COLA,S/ 6.70,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosas INCA KOLA + FANTA + SPRITE Botella 3L Paquete 3un,INCA KOLA,S/ 24.30,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosas COCA COLA Sabor Original 2 Botellas 3L + Gaseosa INCA KOLA Sabor Original Botella 3L,COCA COLA,S/ 30.30,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida con Aloe Vera SAPPE Uva Botella 300ml,SAPPE,S/ 6.60,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Soya sin Azúcar con Monkfruit SILK Caja 946ml,SILK,S/ 14.99,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Almendra y Nuez Pro-V SILK Caja 946ml,SILK,S/ 18.40,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa PEPSI Lata 355ml,PEPSI,S/ 5.30,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Sin Azúcar Botella 300ml,COCA COLA,S/ 2.20,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa FANTA KOLA INGLESA Botella 3L,FANTA,S/ 7.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa CONCORDIA Piña Botella 3L,CONCORDIA,S/ 6.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida con Aloe Vera SAPPE Grape Flavor Botella 300ml,SAPPE,S/ 6.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida BELL'S Cranberry Botella 1L,BELL'S,S/ 8.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosas INCA KOLA Sabor Original 2 Botellas 3L + Gaseosa COCA COLA Sabor Original Botella 3L,INCA KOLA,S/ 30.30,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Light OCEAN SPRAY Cranberry Botella 1.89L,OCEAN SPRAY,S/ 34.40,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Avellanas UHT ORASI Caja 1L,ORASI,S/ 17.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida PULP Naranja Caja 1L,PULP,S/ 4.40,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante GATORADE Sabor a Mandarina Botella 750ml,GATORADE,S/ 4.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante SPORADE Blueberry Botella 1.5L,SPORADE,S/ 5.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida con Aloe Vera SAPPE Botella 1L,SAPPE,S/ 17.10,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Instantánea en Polvo CLIGHT Naranja con Splenda Sobre 7g,CLIGHT,S/ 2.30,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida MOGU MOGU Mango y Coco Botella 1L,MOGU MOGU,S/ 15.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Soya LAIVE Vio Caja 946ml Paquete 4un,LAIVE,S/ 26.20,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa BIG COLA Lata 355ml,BIG COLA,S/ 3.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa FANTA Piña Botella 3L,FANTA,S/ 7.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa FANTA Naranja Botella 2.25L,FANTA,S/ 6.40,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa INCA KOLA Sin Azúcar Botella 1.5L,INCA KOLA,S/ 6.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante BODY ARMOR Orange Mango Botella 16oz,BODY ARMOR,S/ 14.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Almendra SILK Caja 946ml,SILK,S/ 16.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa FANTA Naranja Botella 3L,FANTA,S/ 7.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Almendra LAIVE VIO Sabor a Vainilla Botella 230ml,LAIVE,S/ 3.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida FRUGOS Citrus Fresh Naranja Botella 3L,FRUGOS,S/ 6.60,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa PEPSI + 7UP + CONCORDIA Piña Botella 3L Paquete 3un,PEPSI,S/ 18.20,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida GLORIA Naranja Caja 1L,GLORIA,S/ 4.40,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida TAMPICO Citrus Punch Botella 1.5L,TAMPICO,S/ 4.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa PEPSI Botella 3L Paquete 2un,PEPSI,S/ 16.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Energizante MONSTER Energy Mango Loco Lata 473ml,MONSTER,S/ 8.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida con Aloe Vera SAPPE Sabor Manzana Botella 300ml,SAPPE,S/ 6.40,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida con Aloe Vera SAPPE Piña Botella 300ml,SAPPE,S/ 5.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Energizante RED BULL Lata 250ml Paquete 4un,RED BULL,S/ 28.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida PULP Maracuyá Caja 1L,PULP,S/ 4.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Refrescante MALTIN POWER Botella 330ml,MALTIN POWER,S/ 1.60,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa INCA KOLA Botella 1.5L,INCA KOLA,S/ 6.70,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida TAMPICO Citrus Punch sin Azúcar Botella 3L,TAMPICO,S/ 7.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida FRUGOS DEL VALLE Mango Caja 235ml Six Pack,FRUGOS,S/ 7.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa INCA KOLA Sin Azúcar Botella 2.25L,INCA KOLA,S/ 9.70,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Leche UHT BONLÉ Chocolatada Bolsa 800ml,BONLÉ,S/ 3.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida PULP Durazno Caja 315ml Paquete 6un,PULP,S/ 8.70,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Energizante MONSTER Paradise Lata 473ml,MONSTER,S/ 8.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Light OCEAN SPRAY Cranberry & Grape Caja 1L,OCEAN SPRAY,S/ 17.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Almendra NATURE'S HEART Vainilla Sin Azúcar Caja 946ml,NATURE'S HEART,S/ 12.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa FANTA Kola Inglesa Botella 500ml Paquete 6un,FANTA,S/ 13.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa PEPSI + SEVEN UP 2Pack Botella 3L,PEPSI,S/ 14.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida SAN LUIS Sin Gas Sabor Piña y Kión Botella 625ml,SAN LUIS,S/ 2.20,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Vegetal NATURE'S HEART Origen Caja 946ml,NATURE'S HEART,S/ 12.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa BIG COLA Botella 350ml,BIG COLA,S/ 1.30,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante SPORADE Sabor a Uva Botella 500ml,SPORADE,S/ 2.40,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida CIFRUT Citrus Punch Botella 350ml,CIFRUT,S/ 1.20,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante POWERADE Maracuyá Botella 600ml,POWERADE,S/ 2.40,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Surtido GLORIA Caja 500ml,GLORIA,S/ 2.20,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa FANTA Piña Lata 355ml,FANTA,S/ 6.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Leche Chocolatada LAIVE Bolsa 900ml,LAIVE,S/ 5.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa KOLA INGLESA Botella 500ml,FANTA,S/ 2.70,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante SUEROX Fresa Botella 630ml Paquete 4un,SUEROX,S/ 19.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante POWERADE Frutas Botella 1.5L,POWERADE,S/ 5.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa INCA KOLA Sin Azúcar Botella 300ml,INCA KOLA,S/ 2.20,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa CRUSH Naranja Botella 3L,CRUSH,S/ 5.70,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Energizante sin Azúcar VOLT Botella 300ml,VOLT,S/ 2.49,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa PEPSI Cola Botella 750ml,PEPSI,S/ 2.80,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa COCA COLA Sin Azúcar Botella 500ml,COCA COLA,S/ 3.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida de Almendra NATURE'S HEART Caja 946ml,NATURE'S HEART,S/ 10.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida NATURALE Emoliente Botella 500ml,NATURALE,S/ 4.60,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante POWERADE Mora Botella 1.5L,POWERADE,S/ 5.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
