brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
SUPERCAT,Comida para gatitos Super Cat sabor carne y leche de 1 kg,S/ 13.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,1.0,kg,Comida para gatitos Super Cat sabor carne y leche de,13.5
RICOCAT,Comida para Gatos Cachorros Carne Pescado y Leche 500 g,S/ 8.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,500.0,g,Comida para Gatos Cachorros Carne Pescado y Leche,8.5
RICOCAN,Comida para perros cachorros sabor carne y leche de 3 kg,S/ 33.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,3.0,kg,Comida para perros cachorros sabor carne y leche de,33.5
RICOCAN,Trocitos en salsa para perros adultos sabor carne de 100 g,S/ 4,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,100.0,g,Trocitos en salsa para perros adultos sabor carne de,4.0
NONGSHIM,Sopa Instantánea Sabor Carne Verduras y Picante Non 86 g,S/ 9.60,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,86.0,g,Sopa Instantánea Sabor Carne Verduras y Picante Non,9.6
SUPERCAN,Comida para perros Super Can Adulto sabor carne y cereales de 1kg,S/ 10.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,1.0,kg,Comida para perros Super Can Adulto sabor carne y cereales de,10.9
FELIX,Alimento húmedo para gatos Classic con Carne 85 gr,S/ 5,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,85.0,g,Alimento húmedo para gatos Classic con Carne r,5.0
PEDIGREE,Pouch para Perro Adulto con Sabor a Carne de 100 g,S/ 4.20,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,100.0,g,Pouch para Perro Adulto con Sabor a Carne de,4.2
MIMASKOT,Comida para perros para cachorros pequeños con sabor a carne y cereales de 15 kg,S/ 117.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,15.0,kg,Comida para perros para cachorros pequeños con sabor a carne y cereales de,117.5
RICOCAN,Estofado Sabor Carne Adulto Razas Pequeñas Lata 290 Gr,S/ 6.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,290.0,g,Estofado Sabor Carne Adulto Razas Pequeñas Lata r,6.5
DOG CHOW,Alimento húmedo para perro High Protein Carne 368 gr,S/ 11.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,368.0,g,Alimento húmedo para perro High Protein Carne r,11.5
SUPERCAN,Comida para perros Super Can cachorros sabor carne y leche de 1 kg,S/ 11.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,1.0,kg,Comida para perros Super Can cachorros sabor carne y leche de,11.5
CAT CHOW,Alimento para Gatos Adulto sabor Carne en bolsa de 8 kg,S/ 135.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,8.0,kg,Alimento para Gatos Adulto sabor Carne en bolsa de,135.5
RICOCAT,Comida para gatos adultos sabor carne salmón y leche de 500 g,S/ 8.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,500.0,g,Comida para gatos adultos sabor carne salmón y leche de,8.5
MIMASKOT,Comida para gatos adultos sabor pollo carne y salmón de 1 kg,S/ 14.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,1.0,kg,Comida para gatos adultos sabor pollo carne y salmón de,14.9
THOR,Comida para perros adultos sabor carne pollo y cereales de 2 kg,S/ 16.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,2.0,kg,Comida para perros adultos sabor carne pollo y cereales de,16.9
