Distrito,Establecimiento,Dirección,Teléfono,Precio de Venta (Soles por galón),Departamento,Provincia,Producto,Fecha,Precio
BREÑA,GRIFO VICTORIA E.I.R.L.,JR. JORGE CHAVEZ 1087 ESQ. JR. OLMEDO N° 498,930337011/928309188,13.65,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.65
BREÑA,SUCESION GARCIA CUBA MANUEL,AV. VENEZUELA CUADRA 17 CON AV. ARICA CUADRA 15,940644960,13.9,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.9
BREÑA,EXPERIENCIA PERUANA S.A.C.,JR. HUARAZ N° 1484 - 1494 ESQUINA CON JR. RESTAURACION,955108634,14.88,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.88
BREÑA,CHIE S.A.C.,"JR. ORBEGOZO Nº 300, ESQUINA CON JR. HUARAZ",013320112,14.99,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.99
BREÑA,DUOGAS S.A.,AV. ARICA N° 580 - 590 ESQ. CON JR. JORGE CHAVEZ,,15.49,LIMA,LIMA,DB5 S-50 UV,2025-11-22,15.49
BREÑA,GLOBAL FUEL S.A.,ESQUINA AV. ZORRITOS Y AV. TINGO MARÍA,976110149,15.99,LIMA,LIMA,DB5 S-50 UV,2025-11-22,15.99
BREÑA,COESTI SA,"AV. ARICA 481, ESQUINA CON JR. GENERAL VARELA Y JR. REBECA OQUENDO",012033100/978874540,16.49,LIMA,LIMA,DB5 S-50 UV,2025-11-22,16.49
CARABAYLLO,GASOCENTRO GAST SOCIEDAD ANONIMA CERRADA - GASOGAST S.A.C.,"URB. EL BOULEVARD DE SAN ANTONIO, MZ. D9, LOTES DEL 23 AL 30 (AV. JOSÉ SACO ROJAS S/N ESQUINA CON AV. COMERCIAL)",919484879,13.19,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.19
CARABAYLLO,VERPASAR S.A.C,"AV. LAS LOMAS DE CARABAYLLO MZ- B LTES 14,15 Y 16 - PROGRAMA DE VIVIENDA SAN JOSE",983043666/954131333,13.25,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.25
CARABAYLLO,EMPRESA DE TRANSPORTES MODIHU S.A.C.,AV. JOSÉ SACO ROJAS MZ.B LOTE 9 PROGRAMA DE VIVIENDA LAS DALIAS,997368164,13.29,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.29
CARABAYLLO,ADMINISTRACION DE GRIFOS L&L ONE S.A.C.,LOTE 09 MANZANA H ASOCIACION PRO VIVIENDA LOS SUYOS,,13.29,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.29
CARABAYLLO,CORPORACION Q & T S.A.C.,"AV. TUPAC AMARU KM. 22.5 ZONA DE HUACOY CARRETERA LIMA – CANTA, ASENTAMIENTO HUMANO VILLA SAN ANTONIO",015674006/998161283/998151283,13.29,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.29
CARABAYLLO,GRIFO SANTA ISABEL,AV. UNIVERSITARIA N° 100 – URB. SANTA ISABEL,976299971,13.36,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.36
CARABAYLLO,BERNABEL DAVILA JULIA FIORELLA,AV. TUPAC AMARU N° 3603 AA.HH. EL PROGRESO,991679311,13.36,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.36
CARABAYLLO,MAHANAIM MAGDALENA S.A.C.,UNIVERSITARIA S/N CRUCE CON CALLE 2,997282843,13.39,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.39
CARABAYLLO,AMÉRICA DIESEL,"KM. 24.2 DE LA AV. TUPAC AMARU, MZ. E, LT. 09, ASOCIACIÓN DE VIVIENDA CASA HUERTA SIN NÚMERO",910460905/994221353,13.39,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.39
CARABAYLLO,NEGOCIACION KIO S.A.C.,AV. TUPAC AMARU 10200 – 10202 (ALT. 18.5 KM. AV. TUPAC AMARU),015742727,13.42,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.42
