description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Bebida Rehidratante Gatorade Tropical Botella 750ml,,750.0,ml,4.99,metro,2024-12-04 22:25:56.514517,BEBIDA HIDRATANTE,750.0,ml,4.99,BEBIDA HIDRATANTE
Bebida Rehidratante GATORADE Naranja Botella 600ml,GATORADE,600.0,ml,5.0,vivanda,2024-12-04 18:20:22.255946,BEBIDA HIDRATANTE,600.0,ml,5.0,BEBIDA HIDRATANTE
Bebida Rehidratante GATORADE Gatorlyte Fresa-Kiwi 591ml,GATORADE,591.0,ml,5.0,vivanda,2024-12-04 18:20:22.255946,BEBIDA HIDRATANTE,591.0,ml,5.0,BEBIDA HIDRATANTE
Bebida Rehidratante GATORADE Gatorlyte Uva 591ml,GATORADE,591.0,ml,5.0,vivanda,2024-12-04 18:20:22.255946,BEBIDA HIDRATANTE,591.0,ml,5.0,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Mandarina Botella 750ml,,750.0,ml,5.1,wong,2024-12-04 20:53:27.835546,BEBIDA HIDRATANTE,750.0,ml,5.1,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Tropical Botella 750ml,,750.0,ml,5.1,wong,2024-12-04 20:53:27.835546,BEBIDA HIDRATANTE,750.0,ml,5.1,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorlit Recover Naranja Botella 591ml,,591.0,ml,5.5,wong,2024-12-04 20:53:27.835546,BEBIDA HIDRATANTE,591.0,ml,5.5,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorlit Recover Fresa Kiwi Botella 591ml,,591.0,ml,5.5,wong,2024-12-04 20:53:27.835546,BEBIDA HIDRATANTE,591.0,ml,5.5,BEBIDA HIDRATANTE
Bebida Rehidratante SPORADE Tropical Electrolitos Botella 1.5L,SPORADE,1.5,l,5.5,vivanda,2024-12-04 18:20:22.255946,BEBIDA HIDRATANTE,1.5,l,5.5,BEBIDA HIDRATANTE
Bebida Rehidratante SPORADE Blueberry Botella 1.5L,SPORADE,1.5,l,5.5,vivanda,2024-12-04 18:20:22.255946,BEBIDA HIDRATANTE,1.5,l,5.5,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Multifrutas Botella 1.5L,,1.5,l,5.5,wong,2024-12-04 20:53:27.835546,BEBIDA HIDRATANTE,1.5,l,5.5,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorlit Recover Uva Botella 591ml,,591.0,ml,5.5,metro,2024-12-04 22:25:56.514517,BEBIDA HIDRATANTE,591.0,ml,5.5,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Mora Botella 1.5L,,1.5,l,5.5,metro,2024-12-04 22:25:56.514517,BEBIDA HIDRATANTE,1.5,l,5.5,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorlit Recover Fresa Kiwi Botella 591ml,,591.0,ml,5.5,metro,2024-12-04 22:25:56.514517,BEBIDA HIDRATANTE,591.0,ml,5.5,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Multifrutas Botella 1.5L,,1.5,l,5.5,metro,2024-12-04 22:25:56.514517,BEBIDA HIDRATANTE,1.5,l,5.5,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Mora Botella 1.5L,,1.5,l,5.5,wong,2024-12-04 20:53:27.835546,BEBIDA HIDRATANTE,1.5,l,5.5,BEBIDA HIDRATANTE
REHIDRATANTE MORA BOTELLA X 1.5L,POWERADE,1.5,l,5.5,tottus,2024-12-04 14:01:16.732811,BEBIDA HIDRATANTE,1.5,l,5.5,BEBIDA HIDRATANTE
