description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Torta Tres Leches Café 10 Porciones,,10.0,un,51.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),10.0,un,51.9,TORTA (ENTERA)
Torta Tres Leches de Sauco 10 Porciones,,10.0,un,51.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),10.0,un,51.9,TORTA (ENTERA)
Torta Imperial La Viuda Caja 200 g,,200.0,g,52.4,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),200.0,g,52.4,TORTA (ENTERA)
Torta Dulce de Leche 16 Porciones,,16.0,un,53.5,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,53.5,TORTA (ENTERA)
Torta de Frutos del Bosque Dulce Pasión 10 Porciones,,10.0,un,53.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),10.0,un,53.9,TORTA (ENTERA)
Torta Tres Leches de Chocolate 16 Porciones,,16.0,un,53.93,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,53.93,TORTA (ENTERA)
Torta Mil Hojas con Manjar Blanco 12 Porciones,,12.0,un,54.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),12.0,un,54.9,TORTA (ENTERA)
Torta Milhojas de Sauco 12 Porciones,,12.0,un,54.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),12.0,un,54.9,TORTA (ENTERA)
Torta Tres Leches Arroz con Leche 8 Porciones,,8.0,un,54.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),8.0,un,54.9,TORTA (ENTERA)
Torta Tres Leches Arroz con Leche 8 Porciones,,8.0,un,54.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),8.0,un,54.9,TORTA (ENTERA)
Torta Helada de Duraznos 20 Porciones,,20.0,un,54.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),20.0,un,54.9,TORTA (ENTERA)
Torta Milhojas de Sauco 12 Porciones,,12.0,un,54.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),12.0,un,54.9,TORTA (ENTERA)
Torta Tres Leches Mazamorra Morada 8 Porciones,,8.0,un,54.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),8.0,un,54.9,TORTA (ENTERA)
Torta Alemana con Cerezas 20 Porciones,,20.0,un,55.43,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),20.0,un,55.43,TORTA (ENTERA)
Torta Selva Negra 20 Porciones,,20.0,un,55.43,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),20.0,un,55.43,TORTA (ENTERA)
Torta de Maracuyá 16 Porciones,,16.0,un,55.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),16.0,un,55.9,TORTA (ENTERA)
Torta Tres Leches Fresa 10 Porciones,,10.0,un,55.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,55.9,TORTA (ENTERA)
Torta Tropical Dulce Pasión16 Porciones,,16.0,un,55.92,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),16.0,un,55.92,TORTA (ENTERA)
Torta Naked Red Velvet 16 Porciones,,16.0,un,56.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),16.0,un,56.9,TORTA (ENTERA)
Torta Mil Hojas con Crema y Fresas 12 Porciones,,12.0,un,56.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),12.0,un,56.9,TORTA (ENTERA)
Torta Mil Hojas con Crema y Fresas 12 Porciones,,12.0,un,56.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),12.0,un,56.9,TORTA (ENTERA)
Torta Tres Leches de Chocolate 16 Porciones,,16.0,un,56.93,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),16.0,un,56.93,TORTA (ENTERA)
Torta Tres Leches Fresa y Coco 16 Porciones,,16.0,un,56.93,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),16.0,un,56.93,TORTA (ENTERA)
Torta de Guanábana xon Manjarblanco 16 Porciones,,16.0,un,58.5,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),16.0,un,58.5,TORTA (ENTERA)
Torta Naked Red Velvet 10 Porciones,,10.0,un,58.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,58.9,TORTA (ENTERA)
Torta Moka 16 Porciones,,16.0,un,58.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),16.0,un,58.9,TORTA (ENTERA)
Torta Charlotte de Chocolate 20 Porciones,,20.0,un,59.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),20.0,un,59.9,TORTA (ENTERA)
Torta Red Velvet Dulce Pasión 10 Porciones,,10.0,un,59.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),10.0,un,59.9,TORTA (ENTERA)
Torta Rayas de Cereza 20 Porciones,,20.0,un,59.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),20.0,un,59.9,TORTA (ENTERA)
Torta Selva Negra Mediana LA FLORENCIA 1un,,1.0,un,60.9,plaza_vea,2024-12-04 13:07:36.681683,TORTA (ENTERA),1.0,un,60.9,TORTA (ENTERA)
Torta Tropical Dulce Pasión16 Porciones,,16.0,un,61.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,61.9,TORTA (ENTERA)
Torta Candy Cake 16 Porciones,,16.0,un,61.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,61.9,TORTA (ENTERA)
Torta Trufada Dulce Pasión 10 Porciones,,10.0,un,61.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),10.0,un,61.9,TORTA (ENTERA)
Torta Carrot Cake Dulce Pasión 10 Porciones,,10.0,un,62.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),10.0,un,62.9,TORTA (ENTERA)
Torta Selva Negra Chocolate 16 Porciones,,16.0,un,62.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,62.9,TORTA (ENTERA)
Torta de Guanábana con Crema Pastelera 20 Porciones,,20.0,un,63.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),20.0,un,63.9,TORTA (ENTERA)
Torta Selva Negra Cuisine & Co 16 Porciones,,16.0,un,63.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),16.0,un,63.9,TORTA (ENTERA)
Torta Tres Leches Suspiro a la Limeña 16 Porciones,,16.0,un,64.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,64.9,TORTA (ENTERA)
Torta de Chocolate Dulce Pasión 12 Porciones,,12.0,un,65.9,wong,2024-12-04 18:28:24.587968,TORTA (ENTERA),12.0,un,65.9,TORTA (ENTERA)
Torta Tres Leches de Piña Colada 16 Porciones,,16.0,un,65.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,65.9,TORTA (ENTERA)
Torta Tres Leches Frutos del Bosque 16 Porciones,,16.0,un,65.9,metro,2024-12-04 20:51:11.610801,TORTA (ENTERA),16.0,un,65.9,TORTA (ENTERA)
