description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Gaseosa Fanta Kola Inglesa Botella 2.25L,,2.25,l,6.4,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,2.25,l,6.4,BEBIDAS GASEOSAS
Gaseosa Sprite Lima Limón Botella 2.25L,,2.25,l,6.4,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,2.25,l,6.4,BEBIDAS GASEOSAS
Gaseosa Inca Kola Lata 355 ml,,355.0,ml,6.5,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,355.0,ml,6.5,BEBIDAS GASEOSAS
Gaseosa Crush Grape Lata 355 ml,,355.0,ml,6.5,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,355.0,ml,6.5,BEBIDAS GASEOSAS
Gaseosa Coca Cola Cherry Lata 355 ml,,355.0,ml,6.5,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,355.0,ml,6.5,BEBIDAS GASEOSAS
Gaseosa Canada Dry Ginger Ale Lata 355ml,,355.0,ml,6.5,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,355.0,ml,6.5,BEBIDAS GASEOSAS
Gaseosa Coca Cola Vainilla Lata 355 ml,,355.0,ml,6.5,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,355.0,ml,6.5,BEBIDAS GASEOSAS
Gaseosa Sprite Lata 355ml,,355.0,ml,6.5,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,355.0,ml,6.5,BEBIDAS GASEOSAS
Gaseosa Sunkist Orange Lata 355ml,,355.0,ml,6.5,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,355.0,ml,6.5,BEBIDAS GASEOSAS
Gaseosa Fanta Original Lata 355 ml,,355.0,ml,6.5,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,355.0,ml,6.5,BEBIDAS GASEOSAS
Gaseosa Concordia Sabor Naranja Botella 3 Litros,,3.0,l,6.5,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,3.0,l,6.5,BEBIDAS GASEOSAS
Gaseosa Fanta Uva Lata 355ml,,355.0,ml,6.5,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,355.0,ml,6.5,BEBIDAS GASEOSAS
Gaseosa Schweppes Citrus Botella 1.5L,,1.5,l,6.6,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,1.5,l,6.6,BEBIDAS GASEOSAS
Gaseosa Concordia Sabor Fresa Botella 3 Litros,,3.0,l,6.7,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,3.0,l,6.7,BEBIDAS GASEOSAS
Gaseosa Concordia Sabor Piña Botella 3 Litros,,3.0,l,6.7,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,3.0,l,6.7,BEBIDAS GASEOSAS
Gaseosa Fanta Uva Lata 355ml,,355.0,ml,6.8,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,355.0,ml,6.8,BEBIDAS GASEOSAS
Gaseosa Sprite Lima Limón Botella 3L,,3.0,l,6.9,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,3.0,l,6.9,BEBIDAS GASEOSAS
Gaseosa Coca Cola Sin Azúcar Botella 1.5L,,1.5,l,6.9,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,1.5,l,6.9,BEBIDAS GASEOSAS
Gaseosa SPRITE Botella 3L,Sprite,3.0,l,6.9,vega,2024-12-04 14:47:37.603405,BEBIDAS GASEOSAS,3.0,l,6.9,BEBIDAS GASEOSAS
Gaseosa COCA COLA Lata 350ml,COCA COLA,350.0,ml,6.9,vivanda,2024-12-04 18:19:24.589592,BEBIDAS GASEOSAS,350.0,ml,6.9,BEBIDAS GASEOSAS
Gaseosa Crush Orange Lata 355ml,,355.0,ml,6.9,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,355.0,ml,6.9,BEBIDAS GASEOSAS
Gaseosa Sprite Lata 355ml,,355.0,ml,6.9,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,355.0,ml,6.9,BEBIDAS GASEOSAS
Gaseosa Coca Cola Zero Lata 355 ml,,355.0,ml,6.9,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,355.0,ml,6.9,BEBIDAS GASEOSAS
Gaseosa Fanta Piña Botella 3L,,3.0,l,6.9,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,3.0,l,6.9,BEBIDAS GASEOSAS
Gaseosa Big Cola Botella 3.03 L,,3.03,l,6.9,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,3.03,l,6.9,BEBIDAS GASEOSAS
Gaseosa Fanta Piña Botella 3L,,3.0,l,6.9,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,3.0,l,6.9,BEBIDAS GASEOSAS
Gaseosa Inca Kola Sin Azúcar Botella 1.5L,,1.5,l,6.9,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,1.5,l,6.9,BEBIDAS GASEOSAS
Gaseosa Pepsi Black Botella 3 Litros,,3.0,l,6.9,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,3.0,l,6.9,BEBIDAS GASEOSAS
Gaseosa Coca Cola Sin Azúcar Botella 1.5L,,1.5,l,6.9,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,1.5,l,6.9,BEBIDAS GASEOSAS
Gaseosa Inca Kola Botella 1.5L,,1.5,l,6.9,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,1.5,l,6.9,BEBIDAS GASEOSAS
Gaseosa Coca Cola Botella 1.5L,,1.5,l,6.9,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,1.5,l,6.9,BEBIDAS GASEOSAS
Gaseosa Fanta Botella 3L,,3.0,l,6.9,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,3.0,l,6.9,BEBIDAS GASEOSAS
Gaseosa Fanta Kola Inglesa Botella 3 Lt,,3.0,l,6.9,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,3.0,l,6.9,BEBIDAS GASEOSAS
Gaseosa Sprite Lima Limón Botella 3L,,3.0,l,6.9,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,3.0,l,6.9,BEBIDAS GASEOSAS
Gaseosa Sunkist Orange Lata 355ml,,355.0,ml,6.9,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,355.0,ml,6.9,BEBIDAS GASEOSAS
Gaseosa Fanta Piña Lata 355 ml,,355.0,ml,6.9,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,355.0,ml,6.9,BEBIDAS GASEOSAS
Gaseosa Crush Grape Lata 355 ml,,355.0,ml,6.9,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,355.0,ml,6.9,BEBIDAS GASEOSAS
Gaseosa Coca Cola Vainilla Lata 355 ml,,355.0,ml,6.9,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,355.0,ml,6.9,BEBIDAS GASEOSAS
Gaseosa Coca Cola Cherry Lata 355 ml,,355.0,ml,6.9,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,355.0,ml,6.9,BEBIDAS GASEOSAS
Gaseosa Sabor Cereza 355 mL,COCA COLA,355.0,ml,6.9,tottus,2024-12-04 14:00:22.010141,BEBIDAS GASEOSAS,355.0,ml,6.9,BEBIDAS GASEOSAS
Gaseosa Pepsi Black Botella 3 Litros,,3.0,l,6.9,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,3.0,l,6.9,BEBIDAS GASEOSAS
Gaseosa sabor Naranja 3 L,FANTA,3.0,l,6.9,tottus,2024-12-04 14:00:22.010141,BEBIDAS GASEOSAS,3.0,l,6.9,BEBIDAS GASEOSAS
