Market_name,Category_name,Product_name,Product_description,Product_unit_type,Product_quantity,Product_price,Product_branch,Scrape_timestamp,website
Pedidos Ya Lince,Abarrotes,Pack Jamón Sándwich 230 g + Queso Edam 108 g San Fernando 1 unidad,,un,1.0,14.9,San Fernando,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Fideo Linguine Molitalia 450 g,,g,450.0,3.6,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Gelatina Laive Sabor Piña Yopi 120G,,g,120.0,2.5,Laive,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Con Fideos Aji-No-Men Sabor Pollo 80Gr,,g,80.0,2.1,Aji-No-Men,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Pack 2 Spaghetti Molitalia 950 g,,g,950.0,13.8,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Arroz Superior Paisana Bolsa 1 kg,,kg,1.0,5.5,Paisana,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Gelatina Laive Sabor Fresa Yopi Fourpack 120G,,g,480.0,9.2,Laive,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Lenteja Costeño Bolsa 500G,,g,500.0,8.0,Costeño,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Mermelada Fresa Vaso Fanny 290 Gr,,g,290.0,5.9,Fanny,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Arveja Verde COSTEÑO Bolsa 500g,,g,500.0,4.9,Costeño,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Pack 2 Aceite Primor Vegetal Premium 900 ml,,ml,900.0,22.0,Primor,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Gelatina Laive Sabor Piña Yopi Fourpack 120G,,g,480.0,9.2,Laive,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Pasta Lasagna Clásica Molitalia Caja 350 g,,g,350.0,6.9,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Premezcla Torta De Chocolate Molitalia Paquete 500 g,,g,500.0,9.5,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Pre Mezcla Molitalia Keke Vainilla 450 gr,,g,500.0,9.5,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Cereal Bar Gold,Contiene 12 barras de cereal.Sabor miel con leche.Contenido: 252 g,un,1.0,7.2,Costa,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Sazonador de Pop Corn Sabor Mantequilla Costeño Pops 81g,Contiene 81 gramos.Sazonador en polvo de pop corn.Sabor: Mantequilla,g,81.0,11.9,Costeño,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Harina Molitalia Repostera 1Kg,,kg,1.0,9.9,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Pack 2 Harina Molitalia Sin Preparar 1 kg,,kg,1.0,15.8,Molitalia,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Bolsa Manjar 500 G Nestle,"Manjar Tradicional NESTLÉ® Bolsa, el más rico para panqueques, dulces y tortas. Sin gluten. 500g",g,500.0,13.9,Nestle,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Pack 6 Trozos Atún Primor 140 g,,g,140.0,39.0,Primor,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Sal de Cocina Marina Emsal Bolsa 1 kg,,kg,1.0,2.9,Emsal,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Azúcar Rubia Costeño 750gr,,g,750.0,6.5,Costeño,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Arroz Añejo Costeño 5 kg,Contiene 5 kilos.Arroz añejado.Variedad: Extra,kg,5.0,28.5,Costeño,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Trigo Mote Costeño Bolsa 500G,,g,500.0,5.2,Costeño,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Aceite Vegetal Costeño 900 ML,,ml,900.0,9.9,Costeño,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Sopa Instantánea Ajinomen Sabor a Gallina Picante Vaso 51 g,,g,51.0,3.8,Aji-No-Men,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Barras De Cereal Manzana-Canela Cereal Bar Costa18 Gr.,Cantidad: 12 unidades.Barras de cereales con manzana y canela.Fuente de 6 vitaminas y hierro,g,18.0,7.2,Costa,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Barras De Cereales Arándanos Cereal Bar Caja 8 Unid,Cantidad: 12 unidades.Barras de cereales con arándanos.Fuente de 6 vitaminas y hierro,un,8.0,7.2,Costa,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Arroz Extra Paisana Bolsa 5 Kg,,kg,5.0,25.9,Paisana,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Pack 6 Atún Fanny Filete En Aceite Vegetal 140 g,,g,140.0,41.4,Fanny,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Leche Condensada Topping Tarro Nestlé 297 g,,g,297.0,5.5,Nestle,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Fideo Linguini Grosso Don Vittorio 950g,Contiene 950 gramos.Pasta de trigo.Tipo: Linguini Grosso,g,950.0,7.9,Don Vittorio,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Arroz Integral Costeño Bolsa 750G,,g,750.0,5.7,Costeño,2024-12-09 02:20:16.666246,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Cereal Nestlé Chocapic Mini 330 G,"Harina integral de trigo, vitaminas del grupo B, minerales, cacao en polvo, cebada, leche descremada en polvo, aceite vegetal y carbonato de calcio. Fuente de nutrientes esenciales para tu dieta diaria.",g,330.0,16.9,Nestle,2024-12-09 02:20:17.246573,Pedidos Ya
