Market_name,Category_name,Product_name,Product_description,Product_price,Scrape_timestamp,Product_unit_type,Product_quantity,Product_branch
Pedidos Ya Lince,Abarrotes,Pasta Molitalia Tornillo Tricolor 235 g,"Contiene 235 gramos.Tornillo Tricolor.Pasta con sémola, tomate y espinaca.Alto en proteínas.Hecho con Trigo Durum",2.5,2024-12-04 02:14:47.299084,g,235.0,Molitalia
Pedidos Ya Lince,Abarrotes,Leche Condensada Gloria Doy Pack 200 G,,4.5,2024-12-04 02:14:47.299084,g,200.0,Gloria
Pedidos Ya Lince,Abarrotes,Fideos Cabello De Angel Molitalia 250g,,2.5,2024-12-04 02:14:47.299084,g,250.0,Molitalia
Pedidos Ya Lince,Abarrotes,Mermelada Gloria Fresa Pote 310G,,7.9,2024-12-04 02:14:47.299084,g,310.0,Gloria
Pedidos Ya Lince,Abarrotes,Pomarola Salsa Clasica Molitalia 290g,,4.5,2024-12-04 02:14:47.299084,g,290.0,Molitalia
Pedidos Ya Lince,Abarrotes,Gloria Leche Condensada Lata 393 g,Parcialmente descremada.Ideal para preparación de postres.Peso: 393 g,7.9,2024-12-04 02:14:47.299084,g,397.0,Gloria
Pedidos Ya Lince,Abarrotes,Mermelada Gloria De Fresa Sachet 90G,,1.5,2024-12-04 02:14:47.299084,g,90.0,Gloria
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Con Fideos Aji-No-Men Sabor Gallina 80Gr,Contiene 80 gramos.Sopa instantánea con fideos.Sabor: Gallina.Rinde 2 porciones,2.1,2024-12-04 02:14:47.299084,g,80.0,Aji-No-Men
Pedidos Ya Lince,Abarrotes,Mermelada Gloria De Fresa Vaso 290G,,5.5,2024-12-04 02:14:47.299084,g,290.0,Gloria
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Con Fideos Aji-No-Men Sabor Gallina Picante 80Gr,,2.1,2024-12-04 02:14:47.299084,g,80.0,Aji-No-Men
Pedidos Ya Lince,Abarrotes,Spaghetti Molitalia 450 Gr,Contiene 450g.Spaghetti de rápida cocción.Elaborado con ingredientes de calidad,3.6,2024-12-04 02:14:47.299084,g,450.0,Molitalia
Pedidos Ya Lince,Abarrotes,Azúcar Rubia Cartavio 1 kg,,5.5,2024-12-04 02:14:47.299084,kg,1.0,Cartavio
Pedidos Ya Lince,Abarrotes,Salsa A La Bolognesa Molitalia 170g,Contiene 170 gramos.Salsa de tomates con carne y verduras.Elaborada con al menos 6 tomates,3.9,2024-12-04 02:14:47.299084,g,170.0,Molitalia
Pedidos Ya Lince,Abarrotes,Mermelada Gloria De Fresa Doypack 700G,,11.0,2024-12-04 02:14:47.299084,g,700.0,Gloria
Pedidos Ya Lince,Abarrotes,Harina Molitalia Preparada 1Kg,,8.9,2024-12-04 02:14:47.299084,kg,1.0,Molitalia
Pedidos Ya Lince,Abarrotes,Arroz Superior Costeño Bolsa 5Kg,Contiene 5 kilos.Arroz superior,26.5,2024-12-04 02:14:47.299084,kg,5.0,Costeño
Pedidos Ya Lince,Abarrotes,Molitalia Macarron Molitalia 235 Gr,,2.5,2024-12-04 02:14:47.299084,g,235.0,Molitalia
Pedidos Ya Lince,Abarrotes,Salsa De Espinaca Y Albahaca Pomarola Molitalia 110G,,3.5,2024-12-04 02:14:47.299084,g,110.0,Molitalia
Pedidos Ya Lince,Abarrotes,Molitalia Tornillo Molitalia 235 Gr,,2.5,2024-12-04 02:14:47.299084,g,235.0,Molitalia
