description,price,website,search_term,scrape_timestamp
Crema de Maní Skippy Roasted Honey 462g,S/ 30.40,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Crema a Base de Mantequilla Laive 90g,S/ 4.70,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Slime perfumado Wecool a Mantequilla de Maní,S/ 29.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
"Pasta de Almendras, Castañas y Cacao Rainforest Spread Wasi Frasco 250 g",S/ 38.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Margarina La Danesa 500g,S/ 16.20,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Nut Butter Gozana Almendra 200g,S/ 33.70,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Cuisine & Co Crema de Maní con Cacao Frasco 410 g,S/ 21.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Chocolate con Leche y Mantequilla de Maní Reese's Nutrageous Barra 47 g,S/ 5.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Margarina Laive Swis 90g,S/ 3.80,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Crema de Maní & Panela Cuisine & Co 410g,S/ 21.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Untable Vegetal Earth Balance Original 425g,S/ 39.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Crema de Avellanas Cremosa Sin Gluten Sorini 350 gr,S/ 30.80,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Pan Mini Francesitos con Orégano y Mantequilla x kg,S/ 33.90 x kg,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Galletas de Mantequilla Colombina Casita de Navidad 200g Surtido,S/ 12.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Galletas de Mantequilla Noel 80g Surtido,S/ 17.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Untable Vegetal Earth Balance Soy Free 425g,S/ 39.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Crema de Avellanas Winter's Pote 350 g,S/ 29.30,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Twopack Sixpack Galletas Saladas Club Social Sabor Mantequilla 24g,S/ 10.40,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Papel Mantequilla 70x100cm Carpaccio 2un.,S/ 3.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
"Crema de Maní, Cacao y Panela Wasi Chocomaní Orgánico 240g",S/ 26.70,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Helado de Plátano y Mantequilla de Maní Sanúa 473ml,S/ 29.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Sirope de Mantequilla American Classic 472g,S/ 12.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Margarina Sello de Oro Pote 200g,S/ 5.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Helado de Plátano y Mantequilla de Maní Sanúa 133ml,S/ 9.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Layconsa Papel Mantequilla 50 x 70 cm,S/ 2.21,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Ensalada Thai Mattson 260g,S/ 20.00,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Ensalada Thai Mattson 130g,S/ 12.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Ensalada Italiana Mattson 300g,S/ 20.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Ensalada Fresca 380g,S/ 14.70,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Ensalada Parrillera Ecologic x 400 g,S/ 6.70,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Ensalada Rusa Green Food 400g,S/ 5.52,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Ensalada Cesar's Verde Puro 250g,S/ 11.80,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
"Ensalada de Frutas Piña, Sandía y Papaya Natifrut 340g",S/ 9.49,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Ensalada Vietnamita Mattson 450 g,S/ 19.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Ensalada Festiva Wong Bandeja 350 g,S/ 23.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Ensalada de Col con Aliño 400g,S/ 15.80,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Ensalada Vietnamita Mattson 240g,S/ 12.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Ensalada Mix de Lechugas Mattson 130g,S/ 11.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
