unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Caja 20un,Cigarros MARLBORO Crafted Blue Caja 20un,S/ 12.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,20.0,un,Cigarros MARLBORO Crafted Blue Caja,12.9
Doypack 300g,Aceitunas Verdes Deshuesadas en Conserva OLIVO...,S/ 15.40 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,300.0,g,Aceitunas Verdes Deshuesadas en Conserva OLIVO,15.4
Bolsa 25g,Grageas de Colores para Tortas y Dulces BELL'S...,S/ 1.30 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,25.0,g,Grageas de Colores para Tortas y Dulces BELL'S,1.3
Frasco 370g,Aceitunas Verdes en Conserva VALDEPORRES Manza...,S/ 8.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,370.0,g,Aceitunas Verdes en Conserva VALDEPORRES Manza,8.9
Frasco 290g,Conserva VALLE FERTIL Pimiento piquillo Frasco...,S/ 10.30 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,290.0,g,Conserva VALLE FERTIL Pimiento piquillo Frasco,10.3
Lata 190g,Comida para Perros RICOCAT Adulto Todas las Ra...,S/ 4.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,190.0,g,Comida para Perros RICOCAT Adulto Todas las Ra,4.5
Bolsa 98g,Maní Tostado y Pelado TOÑA Bolsa 98g,S/ 4.80 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,98.0,g,Maní Tostado y Pelado TOÑA Bolsa,4.8
Bolsa 750g,Chocolate LENTEJAS Mini Grageas Bolsa 750g,S/ 22.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,750.0,g,Chocolate LENTEJAS Mini Grageas Bolsa,22.5
Bolsa 8Kg,Alimento para Gatos CAT CHOW Adulto Sabor Pesc...,S/ 116.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,8.0,kg,Alimento para Gatos CAT CHOW Adulto Sabor Pesc,116.5
Lata 150g,Conserva de Maíz BELL'S Lata 150g,S/ 3.79 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,150.0,g,Conserva de Maíz BELL'S Lata,3.79
