unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Envase 250g,Ají Parrillero FERYMAR Envase 250g,S/ 8.70 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Ají Parrillero FERYMAR Envase,8.7
Doypack 550g,Ajo Molido SIBARITA Ajo Siba Doypack 550g,S/ 31.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,550.0,g,Ajo Molido SIBARITA Ajo Siba Doypack,31.9
Sobre 18g,Pimienta TOÑA Negra molida Sobre 18Gr,S/ 3.70 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,18.0,g,Pimienta TOÑA Negra molida Sobre r,3.7
Botella 350ml,Salsa de Soya KIKKO Mensi con Ajo Botella 350m...,S/ 8.29 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,350.0,ml,Salsa de Soya KIKKO Mensi con Ajo Botella 350m,8.29
Frasco 40g,Pimienta SIBARITA Negra molida Frasco 40Gr,S/ 10.69 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,40.0,g,Pimienta SIBARITA Negra molida Frasco r,10.69
Bandeja 100g,Ají Panca Seco BELL'S Bandeja 100g,S/ 8.50 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,100.0,g,Ají Panca Seco BELL'S Bandeja,8.5
Doypack 100g,Ají Panca Molido RICASA Doypack 100g,S/ 2.20 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,100.0,g,Ají Panca Molido RICASA Doypack,2.2
Doypack 400g,Ají Criollo BELL'S Doypack 400g,S/ 7.20 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,400.0,g,Ají Criollo BELL'S Doypack,7.2
Doypack 250g,Ajo SIBARITA Pasta Doypack 250g,S/ 15 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Ajo SIBARITA Pasta Doypack,15.0
Envase 250g,Ají Limo FERYMAR Envase 250g,S/ 8.70 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Ají Limo FERYMAR Envase,8.7
Frasco 240g,Ají Amarillo BELL'S Frasco 240g,S/ 4.29 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,240.0,g,Ají Amarillo BELL'S Frasco,4.29
Frasco 250g,Ají Panca en Pasta TRESA Frasco 205g,S/ 6.89 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Ají Panca en Pasta TRESA Frasco,6.89
Envase 250g,Ají Mirasol FERYMAR Envase 250g,S/ 8.70 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Ají Mirasol FERYMAR Envase,8.7
Sobre 18g,Anís KARIÑO Sobre 18g,S/ 3.10 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,18.0,g,Anís KARIÑO Sobre,3.1
Doypack 1kg,Ají Panca Molido PIKI Doypack 1Kg,S/ 21.99 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,1.0,kg,Ají Panca Molido PIKI Doypack,21.99
Envase 250g,Ají Especial FERYMAR Envase 250g,S/ 8.70 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Ají Especial FERYMAR Envase,8.7
Bolsa 240g,Aceitunas Verdes EL OLIVAR con Pimiento Bolsa ...,S/ 9.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,240.0,g,Aceitunas Verdes EL OLIVAR con Pimiento Bolsa,9.9
Sobre 15g,Pimentón BELL'S Molido Sobre 15Gr,S/ 1.59 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,15.0,g,Pimentón BELL'S Molido Sobre r,1.59
Bandeja 100g,Ají Marisol Seco BELL'S Bandeja 100g,S/ 7.99 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,100.0,g,Ají Marisol Seco BELL'S Bandeja,7.99
Doypack 380g,Ají Criollo LIBBY´S Doypack 380g,S/ 13.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,380.0,g,Ají Criollo LIBBY´S Doypack,13.9
Doypack 75g,Ají Pollero CASA VERDE Doypack 75g,S/ 4.70 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,75.0,g,Ají Pollero CASA VERDE Doypack,4.7
