description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Sal con Especias para Chancho Go Chef 120g,,120.0,g,15.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,132.5,SAL
Sal con Especias para Pescado Go Chef 120g,,120.0,g,15.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,132.5,SAL
Sal Fossil River Grillé Pescado Pote 150 gr,,150.0,g,15.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,106.0,SAL
Sal Rosada de Maras Gruesa Frasco 100 g,,100.0,g,15.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,159.0,SAL
Sal con Especias para Pollo y Aves Go Chef 120g,,120.0,g,15.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,132.5,SAL
Sal 850 g,BIOSAL,850.0,g,16.1,tottus,2024-12-07 14:01:23.284512,SAL,1.0,kg,18.94117647058824,SAL
Sal de Maras Gruesa ONZA Molinillo Frasco 100g,,100.0,g,18.2,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,182.0,SAL
Sal de Baño DR TEAL'S Eucalipto Paquete 450g,DR TEAL'S,450.0,g,18.5,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,41.111111111111114,SAL
Sal de Baño DR TEAL'S Lavanda Paquete 450g,DR TEAL'S,450.0,g,18.5,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,41.111111111111114,SAL
Sal de Maras ONZA Ají Panca Molinillo Frasco 80g,ONZA,80.0,g,18.9,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,236.24999999999997,SAL
Sal de Maras ONZA Hierbas Mediterráneas Molini...,,50.0,g,18.9,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,378.0,SAL
Salsa de Tomate Arrabbiata 400 g,BARILLA,400.0,g,19.8,tottus,2024-12-07 14:08:00.461486,PASTA Y SALSA DE TOMATE,400.0,g,19.8,SAL
