CODIGO,CLASIFICACION,Peso_recalculado,Precio_Base
117040142, FRÉJOL PANAMITO,0.0007392439998028,7.34
117040206, ARVEJA SECA PARTIDA,0.0019220343994875,6.03
117040303, GARBANZO,0.0006406781331624,8.04
117040503, LENTEJA,0.0062589325316643,7.16
117040603, PALLAR,0.0010842245330442,8.13
117050203, ACEITUNA DE BOTIJA,0.0046818786654182,14.32
117060103, CAMOTE AMARILLO,0.0040412005322557,2.25
117060206, PAPA AMARILLA,0.0097580207973979,3.29
117060209, PAPA BLANCA,0.019072495194914,1.89
117060221, PAPA HUAYRO,0.0021191661327682,2.89
117060302, YUCA,0.0025627125326499,3.47
117060418, OLLUCO,0.0042876151988566,4.23
117070115, PAPA SECA,0.0016263367995663,6.15
118010103, AZÚCAR BLANCA,0.0004928293332019,3.4
118010106, AZÚCAR RUBIA,0.016805480262185,2.91
118010309, EDULCORANTE,0.0008870927997634,24.77
118020115, MERMELADA,0.0020206002661278,5.19
118020118, MIEL DE ABEJA,0.0016756197328865,22.83
118030103, CHOCOLATE EN PASTA (TAZA),0.0011335074663644,18.97
118030106, CHOCOLATE EN TABLETA,0.0032526735991326,1.49
118030109, DIVERSAS PRESENTACIONES DE CHOCOLATES,0.0020206002661278,1.85
118030302, CARAMELOS,0.0022177319994086,3.87
118030312, GOMA DE MASCAR,0.0008870927997634,0.25
118040209, HELADO FAMILIAR,0.0022177319994086,11.85
119010103, ALBAHACA,0.0009363757330836,3.52
119010121, CULANTRO,0.0022670149327288,3.53
119020102, SAL,0.0013799221329654,1.55
119020212, AJO MOLIDO,0.0029076930658913,6.39
119020221, CANELA ENTERA,0.0019713173328076,96.33
119020241, KION (ESPECIAS),0.0008378098664432,7.32
119020306, GLUTAMATO MONOSÓDICO (SAZONADOR),0.0006406781331624,24.7
119020309, SAZONADORES CONCENTRADOS,0.0012320733330048,28.65
119030103, AJÍ AMARILLO MOLIDO,0.0008870927997634,5.84
119030115, AJÍ PANCA MOLIDO (ESPECIAL),0.0019220343994875,12.08
119030121, AJÍ ROCOTO MOLIDO,0.001034941599724,6.02
119030203, ADEREZOS HIDRATADOS,0.003351239465773,7.49
119030424, MAYONESA,0.003351239465773,6.86
119030512, PASTA Y SALSA DE TOMATE,0.0013799221329654,1.43
119030527, SILLAO,0.001281356266325,1.5
119040206, GELATINA (PARA PREPARAR),0.002316297866049,22.49
119050103, BOCADITOS DE MAÍZ Y QUESO,0.0016263367995663,1.18
119050115, CHIFLE (BOCADITOS),0.001034941599724,3.27
119050136, PAPA FRITA (BOCADITOS),0.0025134295993298,2.27
119050139, POP CORN (BOCADITOS),0.0050268591986595,8.02
121010106, CAFÉ TOSTADO MOLIDO,0.0016263367995663,35.49
121010206, CAFÉ INSTANTÁNEO,0.0068503277315066,8.64
121010303, CEBADA TOSTADA SOLUBLE,0.0011335074663644,6.8
121020109, TÉ NEGRO FILTRANTE,0.000788526933123,72.27
121020202, HIERBAS PARA INFUSIONES,0.0021684490660884,100.0
121030203, COCOA EN POLVO,0.0006406781331624,49.46
121040103, PRODUCTO ACHOCOLATADO,0.0029076930658913,12.13
122010106, AGUA DE MESA SIN GAS,0.018973929328274,1.5
122010112, AGUA MINERAL SIN GAS,0.0056182543985018,1.68
122010203, BEBIDAS GASEOSAS,0.043073283721847,2.54
122020103, BEBIDA ENERGIZANTE (FLUIDA),0.0012320733330048,4.21
122020106, BEBIDA HIDRATANTE,0.0040412005322557,2.43
122020109, REFRESCO ENVASADO (FLUIDO),0.0014292050662855,1.41
122020401, BEBIDA DE FRUTA ENVASADA,0.0041890493322163,2.76
