categoria,description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
YOGUR MIXTO EN VASO,Yogurt Frutado Gloria Durazno Vaso 120 g,,120.0,g,1.7,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,120.0,g,1.7,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Batishake Gloria Vainilla Vaso 120 g,,120.0,g,1.7,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,120.0,g,1.7,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt GLORIA Frutado Durazno Vaso 120g,GLORIA,120.0,g,1.8,vivanda,2024-12-04 17:38:10.971729,YOGUR MIXTO EN VASO,120.0,g,1.8,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt GLORIA Frutado Fresa Vaso 120g,GLORIA,120.0,g,1.8,vivanda,2024-12-04 17:38:10.971729,YOGUR MIXTO EN VASO,120.0,g,1.8,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible GLORIA Sabor a Durazno Botella ...,,180.0,g,1.9,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,180.0,g,1.9,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Frutado Gloria Durazno Vaso 120 g,,120.0,g,1.9,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,120.0,g,1.9,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Frutado Gloria Fresa Vaso 120 g,,120.0,g,1.9,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,120.0,g,1.9,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt GLORIA Parcialmente Descremado Sabor a ...,,180.0,g,1.9,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,180.0,g,1.9,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible GLORIA Sabor a Fresa Botella 18...,,180.0,g,1.9,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,180.0,g,1.9,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible GLORIA Sabor a Vainilla Botella...,,180.0,g,1.9,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,180.0,g,1.9,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible GLORIA Sabor a Lúcuma Botella 1...,,180.0,g,1.9,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,180.0,g,1.9,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Gloria Lúcuma Botella 180 g,,180.0,g,2.0,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,180.0,g,2.0,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Gloria Vainilla Botella 180 g,,180.0,g,2.0,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,180.0,g,2.0,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt GLORIA Slim Sabor a Fresa Vaso 120g,GLORIA,120.0,g,2.0,vivanda,2024-12-04 17:38:10.971729,YOGUR MIXTO EN VASO,120.0,g,2.0,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Gloria Fresa Botella 180 g,,180.0,g,2.0,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,180.0,g,2.0,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Gloria Durazno Botella 180 g,,180.0,g,2.0,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,180.0,g,2.0,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Sabor Vainilla Francesa Laive 180g,,180.0,g,2.0,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,180.0,g,2.0,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Laive Fresa Botella 180g,,180.0,g,2.1,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,180.0,g,2.1,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Griego LAIVE Sabor a Pie de Limón Vaso ...,,115.0,g,2.2,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,115.0,g,2.2,YOGUR MIXTO EN VASO
