unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Presentación 1.2 kg aprox.,Pierna Especial de Pollo Empacada al vacío SAN...,S/ 15.49 x kg,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,1.2,kg,Pierna Especial de Pollo Empacada al vacío SAN,15.49
Paquete 50un,Pañales para Bebé HUGGIES Natural Care Primero...,S/ 35.50 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,50.0,un,Pañales para Bebé HUGGIES Natural Care Primero,35.5
Bolsa 34un,Pañales HUGGIES Natural Care Pants XXG Paquete...,S/ 41.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,34.0,un,Pañales HUGGIES Natural Care Pants X Paquete,41.9
Bolsa 1Kg,Ravioles de Carne y Verdura BELL'S Bolsa 1Kg,S/ 21.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,1.0,kg,Ravioles de Carne y Verdura BELL'S Bolsa,21.9
Bolsa 1Kg,Comida para gatos RICOCAT Gatitos carne pescad...,S/ 14.50 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,1.0,kg,Comida para gatos RICOCAT Gatitos carne pescad,14.5
Paquete 85g,Comida para Gatos RICOCAT Trocitos Carne Gatit...,S/ 3 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,85.0,g,Comida para Gatos RICOCAT Trocitos Carne Gatit,3.0
Lata 290g,Comida para Perros RICOCAN Adulto Todas las Ra...,S/ 5.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,290.0,g,Comida para Perros RICOCAN Adulto Todas las Ra,5.9
Bolsa 14un,Hamburguesas Practiburguer con Carne BELL'S Bo...,S/ 12.99 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,14.0,un,Hamburguesas Practiburguer con Carne BELL'S Bo,12.99
Bolsa 3Kg,"Comida para Gatos RICOCAT Gatito Carne, Pescad...",S/ 37.50 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,3.0,kg,"Comida para Gatos RICOCAT Gatito Carne, Pescad",37.5
Paquete 100g,Alimento Húmedo para Perros DOG CHOW Adultos T...,S/ 3.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,100.0,g,Alimento Húmedo para Perros DOG CHOW Adultos T,3.9
Pack 2un,Pack Pañales para Bebé HUGGIES Natural Care Ta...,S/ 115.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,2.0,un,Pack Pañales para Bebé HUGGIES Natural Care Ta,115.9
Paquete 100g,Comida para Perros RICOCAN Trocitos Adultos Ca...,S/ 3 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,100.0,g,Comida para Perros RICOCAN Trocitos Adultos Ca,3.0
Bolsa 8Kg,Comida para Perros DOG CHOW Adultos todos los ...,S/ 89.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,8.0,kg,Comida para Perros DOG CHOW Adultos todos los,89.9
Paquete 60un,Pañales para Bebé HUGGIES Natural Care Talla X...,S/ 62.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,60.0,un,Pañales para Bebé HUGGIES Natural Care Talla X,62.9
Bolsa 8un,Hamburguesas Practiburguer con Carne BELL'S Bo...,S/ 7.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,8.0,un,Hamburguesas Practiburguer con Carne BELL'S Bo,7.9
Paquete 60un,Pañales para Bebé HUGGIES Natural Care HiperPa...,S/ 52.50 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,60.0,un,Pañales para Bebé HUGGIES Natural Care HiperPa,52.5
