description,price,website,search_term,scrape_timestamp
Yogurt Frutado con Fresa Danlac 160g,S/ 4.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Slim Durazno Galonera 1.7kg,S/ 9.20,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Vakimu +Pro Fresa 160g,S/ 4.79,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive Sabor Lúcuma 946g,S/ 5.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Vakimu +Pro Arándano 160g,S/ 4.88,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Griego 0% Grasas Tigo Premium 1kg,S/ 16.00,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Frutado Danlac Maracumango 160g,S/ 4.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Griego Tigo Con Arándano y Chía Balde 1 Kg,S/ 16.00,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Gloria Griego con Miel 128g,S/ 3.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Griego Danlac Sabor Natural Frasco 420g,S/ 11.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Batido con Trozos de Durazno Laive Griego Frutado 120g,S/ 2.50,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Griego Tigo Sabor Natural Sin Azúcar 500g,S/ 11.10,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive Sabor Vainilla Francesa 946g,S/ 5.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Durazno Botella 1kg,S/ 5.99,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Gloria Zero Lacto Sabor Vainilla 1.7kg,S/ 10.50,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Batido Descremado con Trozos de Fresa Laive Griego Frutado 120g,S/ 2.50,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Griego Tigo Frutos Rojos 1 kg,S/ 16.00,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Laive Sabor Mango 946g,S/ 5.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt con Linaza Gloria Actibio Sabor Fresa 950g,S/ 6.70,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Sabor Fresa y Plátano 180g,S/ 2.00,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Frutado con Frutos del Bosque Danlac 160g,S/ 4.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Griego Danlac Aguaymanto con Zanahoria 900g,S/ 16.90,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt con Grageas Cuisine & Co 125g,S/ 3.20,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Vainilla Botella 180 g,S/ 2.00,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Gloria Zero Lacto Fresa 1kg,S/ 6.70,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Slim Maracuyá Galonera 1.7kg,S/ 9.20,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Griego Cuisine & Co Sabor Natural 500g,S/ 8.30,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt con Chocobolitas Cuisine & Co 125g,S/ 3.20,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Bebible Gloria Lúcuma Botella 180 g,S/ 2.00,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Griego Vakimu Frutos del Bosque 160g,S/ 4.40,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Griego Vakimu Fresa 500g,S/ 7.92,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
Yogurt Deslactosado con Berries Yoleit Griego Pote 950g,S/ 14.20,metro,YOGUR MIXTO EN VASO,2024-12-06 18:20:34.350094
