description,price,website,search_term,scrape_timestamp
Torta Naked Chocolate 10 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta de Guanábana con Manjarblanco 20 Porciones,S/ 66.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta de Guanábana con Crema Pastelera 16 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Trufada Dulce Pasión 10 Porciones,S/ 61.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches Mazamorra Morada 8 Porciones,S/ 44.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Carrot Cake Dulce Pasión 10 Porciones,S/ 60.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches de Piña Colada 16 Porciones,S/ 71.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Delicia de Fresa Dulce Pasión 16 Porciones,S/ 69.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches Fresa y Coco 6 Porciones,S/ 27.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta de Nueces Dulce Pasión 10 Porciones,S/ 74.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Tres Leches Arroz con Leche 8 Porciones,S/ 44.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Chocomanjar Alfinos 10 Porciones,S/ 41.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta C/Mousse De Lucma Bon Bon,S/ 69.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta de Guanábana y Manjarblanco 10 Porciones,S/ 42.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta de Moka 20 Porciones,S/ 67.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Naked de Chocolate 6 Porciones,S/ 21.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Helada Chocolate y Vainilla 10 Porciones,S/ 35.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Delicia de Fresa Dulce Pasión 10 Porciones,S/ 61.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Naked Arándanos 10 Porciones,S/ 49.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Dulce de Café 20 Porciones,S/ 67.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Torta Milhojas de Sauco 12 Porciones,S/ 54.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Tarta de Manzana,S/ 22.00,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Porta Torta Krea Rectangular,S/ 16.00,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Porta Torta Krea Circular,S/ 14.50,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Mini Torta Helada Corazón,S/ 7.92,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Mini Torta Futbolera Blanquiroja 6 Porciones,S/ 23.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Cheesecake Horneado de Maracuyá Dulce Pasión 10 Porciones,S/ 47.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Crema Volteada Cuisine & Co 8 Porciones,S/ 23.92,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Plato de Torta Krea Vidrio 20cm,S/ 3.59,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
Mini Torta Futbolera Blanqueazul 6 Porciones,S/ 23.90,metro,TORTA (ENTERA),2024-12-07 19:43:50.374225
