description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Piqueo BELL'S Tortilla de maíz natural Bolsa 150Gr,BELL'S,S/ 3.30,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,150.0,g,Piqueo BELL'S Tortilla de maíz natural Bolsa r,3.3
Tortillas de Maíz DORITOS Queso Atrevido Bolsa 90g,DORITOS,S/ 5.00,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,90.0,g,Tortillas de Maíz DORITOS Queso Atrevido Bolsa,5.0
Tortillas de Maíz TOSTITOS con Sal Bolsa 200g,TOSTITOS,S/ 9.00,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,200.0,g,Tortillas de Maíz TOSTITOS con Sal Bolsa,9.0
Conserva de Maíz Tierno Entero GOYA Lata 248g,GOYA,S/ 7.90,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,248.0,g,Conserva de Maíz Tierno Entero GOYA Lata,7.9
Tortillas de Maíz TOSTITOS Redondos Bolsa 200g,TOSTITOS,S/ 9.90,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,200.0,g,Tortillas de Maíz TOSTITOS Redondos Bolsa,9.9
Snacks de Papa Maíz y Trigo PIQUEO SNAX Bolsa 260g,FRITO LAY,S/ 11.00,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,260.0,g,Snacks de Papa Maíz y Trigo PIQUEO SNAX Bolsa,11.0
Tamal de Maíz CASA VERDE Gourmet Empaque 180g,CASAVERDE,S/ 5.80,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,180.0,g,Tamal de Maíz CASA VERDE Gourmet Empaque,5.8
Conserva de Maíz BELL'S Lata 150g,BELL'S,S/ 3.79,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,150.0,g,Conserva de Maíz BELL'S Lata,3.79
Harina Precocida DOÑAREPA Maíz Blanco Paquete 1Kg,DOÑAREPA,S/ 9.90,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,1.0,kg,Harina Precocida DOÑAREPA Maíz Blanco Paquete,9.9
Cereal ANGEL Trigo integral de avena y maíz sabor chocolate Bolsa 350Gr,ANGEL,S/ 16.10,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,350.0,g,Cereal ANGEL Trigo integral de avena y maíz sabor chocolate Bolsa r,16.1
Piqueo VALLEALTO Maíz maní y almendras Bolsa 150Gr,VALLEALTO,S/ 9.60,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,150.0,g,Piqueo VALLEALTO Maíz maní y almendras Bolsa r,9.6
Tortillas de Maíz DORITOS Dinamita Bolsa 200g,DORITOS,S/ 9.00,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,200.0,g,Tortillas de Maíz DORITOS Dinamita Bolsa,9.0
