Market_name,Market_cat_name,Market_subcat_name,Product_name,Product_price,Product_description,Product_unit_type,Product_quantity,Product_type,Product_is_available,Product_branch,scrape_timestamp
Oxxo,Lácteos Y Huevos,Leches,laive mezcla láctea sin lactosa ,3.8,"Deliciosa leche enriquecida con la fórmula nutrilac, que es una fuente extra de calcio, vitamina C y D. Sin preservantes ni lactosa. Ideal para disfrutar en cualquier momento del día.",gr,480.0,none,True,laive,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Leches,gloria leche zerolacto uht sin lactosa,6.5,Caja,l,1.0,none,True,gloria,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Leches,laive leche sin lactosa,1.8,Caja,ml,170.0,none,True,laive,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Leches,gloria leche líquida fresca light,6.0,"Está elaborada a base de leche descremada y leche entera de vaca, viene fortificada con vitaminas A, C y D. La puedes disfrutar sola y es apta para que la consumas con cualquier tipo de cereal y granolas.",l,1.0,none,True,gloria,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Leches,laive leche de vaca sin lactosa,5.9,"Hecha con 100 % leche de vaca, es fuente de calcio, libre de lactosa, para que tú y tu familia puedan disfrutar de una nutrición sin molestias.",ml,946.0,none,True,laive,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Leches,gloria leche light,4.6,Lata,gr,390.0,none,True,gloria,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Leches,gloria leche niños,4.6,Lata,gr,390.0,none,True,gloria,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Leches,leche uht ninos chocolate gloria 180 ml,2.1,LECHE UHT  NINOS CHOCOLATE GLORIA 180 ML,ml,180.0,none,True,gloria,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Leches,gloria leche mocaccino,3.5,"Deliciosa Leche Parcialmente Descremada Con Café, Sin Lactosa, Sabor Mocaccino, no Necesita Refrigeración y Puedes Tomarlo en Cualquier Momento.",ml,320.0,none,True,gloria,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Leches,leche concentrada laive 6.4 grasa,4.4,Excelente para el desayuno Contenido: 400 g Reforzado con vitaminas,gr,400.0,none,True,laive,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Leches,laive bebida de almendra,11.4,"Producto líquido, homogéneo, de color crema, aroma y sabor característico a Almendra. Sometido a ultra alta temperatura.",ml,946.0,none,True,laive,2024-12-06 21:20:35.352878
Oxxo,Lácteos Y Huevos,Leches,gloria leche entera líquida,5.5,"Producto elaborado a partir de la leche entera de vaca, enriquecido con vitaminas A, C y D. Por su naturaleza aporta proteínas de alta calidad y minerales como el calcio y el fósforo. Está dirigido a toda la familia.",ml,900.0,none,True,gloria,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Snacks,inka chips papa jalapeño 135 g,8.9,"Déjate Conquistar Por el Sabor de Nuestras Papas Crujientes Sabor Jalapeño, Sabrosas y Ardientes Hasta la Última Hojuela. Acompáñalas Con tu Bebida y Relájate Hasta Que Las Termines Todas.",gr,135.0,none,True,inka chips,2024-12-06 21:20:35.348884
Oxxo,Snacks Y Galletas,Snacks,los cuates snack sal,1.0,Bolsa,gr,43.0,none,True,los cuates,2024-12-06 21:20:35.351878
Oxxo,Snacks Y Galletas,Snacks,inka chips papas crujientes sabor a bbq y cebolla caramelizada,8.9,"Revive esa sensación sublime de una parrillada de verano, buenos amigos y comida sabrosa. Estas papas artesanales, dulces, ahumadas y extracrujientes, hacen una perfecta combinación con una bebida helada y la compañía de los que más quieres.",gr,135.0,none,True,inka chips,2024-12-06 21:20:35.351878
Oxxo,Snacks Y Galletas,Snacks,inka chips papas crujientes sal de mar,8.9,"Déjate conquistar por el simple sabor de las papas crujientes, sazonadas delicadamente con un toque de sal que les da un excelente sabor. Ideal para compartir con tus amigos un delicioso snack.",gr,135.0,none,True,inka chips,2024-12-06 21:20:35.351878
Oxxo,Snacks Y Galletas,Snacks,karinto snack chifles salados,1.5,Karinto Snack Chifles Salados. Deliciosas hojuelas de plátano con sal. Disfrútalas en tus refrigerios o cuando lo desees.,gr,34.0,none,True,karinto,2024-12-06 21:20:35.351878
Oxxo,Snacks Y Galletas,Snacks,cheese tris palito sabor queso,3.3,Bolsa.,gr,44.0,none,True,cheese tris,2024-12-06 21:20:35.352878
