description,price,website,search_term,scrape_timestamp
Papa Huayro Agro Selecto 1Kg,S/ 6.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Cocktail Blanca Agro Selecto 800g,S/ 6.00,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa en Hojuelas Inka Chips Bembos Clásica 120g,S/ 8.20,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa en Hojuelas Inka Chips Salsa Búfalo Picante 115g,S/ 8.10,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas en Hojuelas Papi Ricas Pollo a la Brasa 70g,S/ 4.40,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Canchán Procesada Agro Selecto 2Kg,S/ 8.00,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Prefritas McCain Noisettes 500g,S/ 15.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Prefritass McCain Corte Tradicional 700g,S/ 18.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Nativas Amarillas Picantes Tiyapuy 160g,S/ 7.60,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Negra Andina Agro Selecto 2Kg,S/ 11.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Prefritas McCain Crinkle 600g,S/ 17.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
"Papa en Hojuelas Inka Chips Tomate, Albahaca y Oliva 115g",S/ 8.10,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa en Cubos Congelada Green Food 400g,S/ 6.00,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Perricholi Agroselecto 1kg,S/ 4.80,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Tricolor Cocktail Agro Selecto 800 g,S/ 7.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Pringles Crema y Queso Cheddar Lata 158 g,S/ 14.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Pringles Sabor BBQ 158g,S/ 14.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas en Hojuelas Sabor Queso Cheddar Papa Chips Cuisine & Co Tubo 140 g,S/ 9.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Rellena x un,S/ 4.40,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas en Hojuelas Sabor Original Papa Chips Cuisine & Co Tubo 140 g,S/ 9.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Huamantanga Agro Selecto 1Kg,S/ 7.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas en Hojuelas Sabor Crema & Cebolla Papa Chips Cuisine & Co Tubo 140 g,S/ 9.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Pringles Cheddar & Bacon 105g,S/ 10.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Negra Andina Procesada x kg,S/ 4.69 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Amarilla Peruanita Agro Selecto 2kg,S/ 17.00,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Pringles Chile Habanero 158g,S/ 14.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Papi Ricas Clásicas 70g,S/ 4.40,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papa Blanca Perricholi Procesada Agro Selecto,S/ 9.50,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Prefritas McCain Smiles 600g,S/ 27.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Papas Pringles Adobada 158g,S/ 14.90,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Tripack Papas Lay's Ondas Picante 140g,S/ 14.49,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Tripack Papas Lay's Clásicas 150g,S/ 14.49,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
Twopack Papas Lay's Clásicas 150g,S/ 10.35,metro,PAPA FRITA (BOCADITOS),2024-12-04 02:26:35.029728
