description,price,website,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
gloria yogurt battimix fresa,S/ 3.5 und,Oxxo,2024-12-04 13:49:36.258701,146.0,gr,gloria yogurt battimix fresa,3.5
laive yogurt bebible sabor fresa,S/ 7.5 und,Oxxo,2024-12-04 13:49:36.258701,946.0,gr,laive yogurt bebible sabor fresa,7.5
gloria shake bebida cookies & cream,S/ 3.5 und,Oxxo,2024-12-04 13:49:36.258701,320.0,ml,gloria shake bebida cookies cream,3.5
ideal amanecer mezcla láctea,S/ 3.5 und,Oxxo,2024-12-04 13:49:36.258701,390.0,gr,ideal amanecer mezcla láctea,3.5
gloria yogurt fresa,S/ 4.3 und,Oxxo,2024-12-04 13:49:36.258701,500.0,gr,gloria yogurt fresa,4.3
nutrilac mezcla láctea laive,S/ 3.4 und,Oxxo,2024-12-04 13:49:36.258701,390.0,gr,nutrilac mezcla láctea laive,3.4
gloria leche entera,S/ 4.5 und,Oxxo,2024-12-04 13:49:36.258701,390.0,gr,gloria leche entera,4.5
gloria leche entera con vitaminas,S/ 6.4 und,Oxxo,2024-12-04 13:49:36.258701,1.0,l,gloria leche entera con vitaminas,6.4
gloria leche zerolacto uht sin lactosa,S/ 6.5 und,Oxxo,2024-12-04 13:49:36.258701,1.0,l,gloria leche zerolacto uht sin lactosa,6.5
laive mezcla láctea sin lactosa ,S/ 3.8 und,Oxxo,2024-12-04 13:49:36.258701,480.0,gr,laive mezcla láctea sin lactosa,3.8
laive leche sin lactosa,S/ 1.8 und,Oxxo,2024-12-04 13:49:36.258701,170.0,ml,laive leche sin lactosa,1.8
ideal mezcla láctea cremosita,S/ 4.0 und,Oxxo,2024-12-04 13:49:36.258701,395.0,gr,ideal mezcla láctea cremosita,4.0
laive leche de vaca sin lactosa,S/ 5.9 und,Oxxo,2024-12-04 13:49:36.258701,946.0,ml,laive leche de vaca sin lactosa,5.9
gloria leche líquida fresca light,S/ 6.0 und,Oxxo,2024-12-04 13:49:36.258701,1.0,l,gloria leche líquida fresca light,6.0
gloria leche light,S/ 4.6 und,Oxxo,2024-12-04 13:49:36.258701,390.0,gr,gloria leche light,4.6
gloria leche niños,S/ 4.6 und,Oxxo,2024-12-04 13:49:36.258701,390.0,gr,gloria leche niños,4.6
