description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Trucha Deshuesada Corte Mariposa x kg,S/ 28.50 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Trucha Deshuesada Corte Mariposa,28.5
Queso Fresco Floralp Molde 500 gr,S/ 21.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,500.0,g,Queso Fresco Floralp Molde r,21.9
Queso Mozzarella en Tajadas Laive 180g,S/ 9.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,180.0,g,Queso Mozzarella en Tajadas Laive,9.9
Queso Ricotta Duman 250g,S/ 7.44,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,250.0,g,Queso Ricotta Duman,7.44
Queso Fresco Pasteurizado Laive x kg,S/ 38.45 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Fresco Pasteurizado Laive,38.45
Queso Cottage Cuisine & Co 227g,S/ 11.50,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,227.0,g,Queso Cottage Cuisine & Co,11.5
Bonito Entero x kg,S/ 7.90 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Bonito Entero,7.9
Queso Fresco de Vaca Sin Gluten Duman x Kg / Paquete 400 g aprox,S/ 45.44 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Fresco de Vaca Sin Gluten Duman  / Paquete  aprox,45.44
Queso Maduro Mozzarella Rallado Crystal Farms Bolsa 226 gr,S/ 15.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,226.0,g,Queso Maduro Mozzarella Rallado Crystal Farms Bolsa r,15.9
Queso Cottage Delice 227g,S/ 13.20,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,227.0,g,Queso Cottage Delice,13.2
Queso Mozzarella Cuisine & Co Tajadas 150g,S/ 5.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,150.0,g,Queso Mozzarella Cuisine & Co Tajadas,5.9
