CODIGO,CLASIFICACION,tottus,metro,vivanda,vega,plaza_vea,wong,tambo
114030312,QUESO MANTECOSO,NO,SI,SI,NO,SI,SI,NO
114030318,QUESO PARIA,SI,SI,SI,NO,SI,SI,NO
111020318,QUINUA ENTERA,SI,SI,SI,SI,NO,SI,SI
122020109,REFRESCO ENVASADO (FLUIDO),NO,SI,SI,NO,SI,NO,NO
119020102,SAL,SI,SI,SI,SI,SI,SI,NO
112010336,SANCOCHADO DE VACUNO,NO,SI,NO,NO,NO,NO,NO
116010886,SANDÍA,NO,SI,NO,NO,SI,SI,NO
119020309,SAZONADORES CONCENTRADOS,SI,SI,SI,SI,SI,SI,NO
119030527,SILLAO,SI,SI,SI,SI,SI,NO,NO
119040306,SOPAS (CONCENTRADAS / INSTANTÁNEAS),NO,NO,NO,NO,NO,NO,NO
121020109,TÉ NEGRO FILTRANTE,NO,NO,NO,SI,NO,SI,NO
113010255,TILAPIA - PESCA CONTINENTAL - DE RÍO,NO,NO,NO,NO,NO,NO,NO
112040180,TOCINO AHUMADO,SI,SI,SI,NO,SI,SI,NO
117020206,TOMATE ITALIANO O MARSANO,NO,SI,NO,NO,SI,SI,NO
111050315,TORTA (ENTERA),NO,SI,SI,NO,SI,SI,NO
111050188,TOSTADAS (MOLDE),SI,SI,SI,NO,NO,NO,SI
111020203,TRIGO MORÓN,NO,NO,NO,NO,NO,NO,NO
113040112,TROZO DE PESCADO EN CONSERVA,SI,SI,SI,SI,SI,SI,NO
113010257,TRUCHA - PESCA CONTINENTAL - DE RÍO,NO,NO,NO,NO,NO,NO,NO
116010895,TUNA,NO,SI,NO,NO,SI,SI,NO
116010701,UVA BLANCA,NO,NO,NO,NO,NO,NO,NO
116010707,UVA NEGRA,NO,NO,NO,NO,NO,NO,NO
117020624,VAINITA VERDE (AMERICANA),NO,SI,SI,NO,NO,SI,NO
119040430,VEGETALES SANCOCHADOS,NO,NO,NO,NO,NO,NO,NO
117030206,VERDURA PICADA,NO,SI,SI,NO,SI,SI,NO
114020106,YOGUR DE LECHE DESCREMADA / PARCIALMENTE DESCREMADA,NO,NO,NO,NO,NO,NO,NO
114020109,YOGUR DE LECHE ENTERA,NO,NO,NO,NO,NO,NO,NO
114020112,YOGUR MIXTO EN VASO,NO,SI,SI,NO,SI,SI,NO
117060302,YUCA,NO,SI,SI,NO,SI,SI,NO
117030136,ZANAHORIA,NO,SI,SI,NO,SI,SI,NO
117020312,ZAPALLO MACRE,NO,SI,SI,NO,SI,SI,NO
