CODIGO,PRODUCTO,terminos,funcion_tratamiento
115020206,MARGARINA ENVASADA,MARGARINA,todos_terminos_presentes
119030424,MAYONESA,MAYONESA,al_principio_de_la_descripcion
116010865,MELÓN,MELÓN,al_principio_de_la_descripcion
119040415,MENESTRAS SANCOCHADAS,,
112030106,MENUDENCIA DE POLLO,POLLO CON MENUDENCIA,todos_terminos_presentes
113010161,MERLUZA,Filete,al_principio_de_la_descripcion
118020115,MERMELADA,MERMELADA,al_principio_de_la_descripcion
114010503,MEZCLA LÁCTEA EVAPORADA,MEZCLA LÁCTEA,todos_terminos_presentes
118020118,MIEL DE ABEJA,MIEL,al_principio_de_la_descripcion
112050111,MILANESA,Milanesa Milanesas,alguno_de_los_terminos_presentes_al_inicio
112030230,MONDONGO DE RES,MONDONGO,al_principio_de_la_descripcion
116010121,NARANJA DE JUGO,BEBIDA JUGO,alguno_de_los_terminos_presentes_al_inicio
116010124,NARANJA DE MESA,NARANJA DE MESA,todos_terminos_presentes
117060418,OLLUCO,OLLUCO,todos_terminos_presentes
117040603,PALLAR,PALLAR,al_principio_de_la_descripcion
116010406,PALTA FUERTE / MAYAR,,
111050116,PAN CARACOL,PAN CARACOL,todos_terminos_presentes
111050126,PAN CIABATTA,PAN CIABATTA,todos_terminos_presentes
111050148,PAN DE MOLDE,PAN MOLDE,todos_terminos_presentes
111050150,PAN DE YEMA,PAN DE YEMA,todos_terminos_presentes
111050156,PAN FRANCÉS,Francés Frances,alguno_de_los_terminos_presentes
111050164,PAN INTEGRAL,PAN INTEGRAL,todos_terminos_presentes
112010224,PANCETA (CARNE DE CERDO),PANCETA DE CERDO,todos_terminos_presentes
111050184,PANETÓN,PANETÓN,al_principio_de_la_descripcion
117060206,PAPA AMARILLA,PAPA AMARILLA,todos_terminos_presentes
117060209,PAPA BLANCA,PAPA BLANCA,todos_terminos_presentes
117060212,PAPA COLOR,,
119050136,PAPA FRITA (BOCADITOS),PAPAS,al_principio_de_la_descripcion
117060221,PAPA HUAYRO,PAPA HUAYRO,todos_terminos_presentes
117070115,PAPA SECA,PAPA SECA,al_principio_de_la_descripcion
116010506,PAPAYA,PAPAYA,al_principio_de_la_descripcion
116020139,PASAS,PASAS,al_principio_de_la_descripcion
119030512,PASTA Y SALSA DE TOMATE,TOMATE,todos_terminos_presentes
111050303,PASTELES DULCES,Galletas,no_esta_presente_termino
111050309,PASTELES SALADOS,PASTEL,al_principio_de_la_descripcion
112020307,PAVO EVISCERADO,PAVO,al_principio_de_la_descripcion
116020321,PECANAS,PECANA PECANAS,alguno_de_los_terminos_presentes_al_inicio
112020206,PECHUGA DE POLLO,PECHUGA DE POLLO,todos_terminos_presentes_primero_al_inicio
